crime_rating,distance,weight_safest_12,weight_safest_14,weight_safest_18,weight_shortest,osm_start_id,osm_end_id
384.5,0.00916,0.48697,0.16843,0.07742,0.00916,65294163,65292019
786.5,0.02047,0.99783,0.34626,0.16009,0.02047,65294163,65367656
10.0,0.05488,0.06731,0.05902,0.05666,0.05488,65294358,65294368
8.5,0.05526,0.06582,0.05878,0.05677,0.05526,65294358,65294353
26.0,0.12084,0.15315,0.13161,0.12546,0.12084,65294358,65318084
9.0,0.00813,0.01931,0.01186,0.00973,0.00813,65294358,258967898
4.0,0.02559,0.03056,0.02725,0.0263,0.02559,65296086,65289471
4.0,0.05865,0.06362,0.06031,0.05936,0.05865,65296086,65329560
3.5,0.12886,0.13321,0.13031,0.12948,0.12886,65296086,65294061
5.0,0.12284,0.12905,0.12491,0.12373,0.12284,65296086,1707906099
3.5,0.12941,0.13376,0.13086,0.13003,0.12941,65296088,65288322
1.5,0.12857,0.13043,0.12919,0.12884,0.12857,65296088,65294061
0.0,0.05872,0.05872,0.05872,0.05872,0.05872,65296088,65324772
0.0,0.025,0.025,0.025,0.025,0.025,65296088,65289489
6.5,0.05508,0.06316,0.05777,0.05623,0.05508,65296334,65296333
4.0,0.05571,0.06068,0.05737,0.05642,0.05571,65296334,65296337
5.0,0.04491,0.05112,0.04698,0.0458,0.04491,65296334,65372340
3.5,0.12262,0.12697,0.12407,0.12324,0.12262,65296334,65362651
54.0,0.13003,0.19713,0.1524,0.13962,0.13003,65298353,65332164
13.0,0.14005,0.1562,0.14543,0.14236,0.14005,65298353,65292419
16.0,0.04577,0.06565,0.0524,0.04861,0.04577,65298353,65298355
13.0,0.04584,0.06199,0.05122,0.04815,0.04584,65298353,65298349
26.5,0.05664,0.08957,0.06762,0.06134,0.05664,65298522,1712572413
18.5,0.05497,0.07796,0.06263,0.05825,0.05497,65298522,65298923
35.5,0.0771,0.12121,0.0918,0.0834,0.0771,65298522,301215542
12.0,0.12521,0.14012,0.13018,0.12734,0.12521,65298522,65298518
6.5,0.04362,0.0517,0.04631,0.04477,0.04362,65298844,65321670
7.5,0.05134,0.06066,0.05445,0.05267,0.05134,65298844,65313829
6.5,0.05879,0.06687,0.06148,0.05994,0.05879,65298844,65298841
11.5,0.0549,0.06919,0.05966,0.05694,0.0549,65298982,65298985
9.0,0.05252,0.0637,0.05625,0.05412,0.05252,65298982,65298979
11.0,0.11716,0.13083,0.12172,0.11911,0.11716,65298982,65313625
8.0,0.12894,0.13888,0.13225,0.13036,0.12894,65299622,65299624
9.0,0.12924,0.14042,0.13297,0.13084,0.12924,65299622,258911650
2.0,0.05853,0.06102,0.05936,0.05889,0.05853,65299622,65308552
8.0,0.05864,0.06858,0.06195,0.06006,0.05864,65299622,65308549
1.5,0.08656,0.08842,0.08718,0.08683,0.08656,65300028,65283387
1.5,0.01189,0.01375,0.01251,0.01216,0.01189,65300028,293818036
1.0,0.02901,0.03025,0.02942,0.02919,0.02901,65300028,54891446
3.5,0.06226,0.06661,0.06371,0.06288,0.06226,65300028,65300025
38.5,0.08632,0.13416,0.10227,0.09315,0.08632,65300052,65315473
31.5,0.04107,0.08021,0.05412,0.04666,0.04107,65300052,65310902
31.5,0.02486,0.064,0.03791,0.03045,0.02486,65300052,65300054
38.0,0.06022,0.10744,0.07596,0.06697,0.06022,65300052,601268367
16.5,0.05579,0.07629,0.06262,0.05872,0.05579,65300282,65300914
18.5,0.05431,0.0773,0.06197,0.05759,0.05431,65300282,258964132
52.5,0.00761,0.07285,0.02936,0.01693,0.00761,65300282,65300657
16.0,0.15215,0.17203,0.15878,0.15499,0.15215,65300282,65355555
42.0,0.02582,0.07801,0.04322,0.03328,0.02582,65300759,65335871
77.5,0.02753,0.12384,0.05963,0.04129,0.02753,65300759,258964497
97.0,0.02923,0.14977,0.06941,0.04645,0.02923,65300759,258964498
16.0,0.02483,0.04471,0.03146,0.02767,0.02483,65301479,65322647
20.0,0.06699,0.09184,0.07527,0.07054,0.06699,65301479,65301476
11.0,0.04662,0.06029,0.05118,0.04857,0.04662,65301488,2320396530
15.0,0.02399,0.04263,0.0302,0.02665,0.02399,65301488,65301492
4.0,0.03145,0.03642,0.03311,0.03216,0.03145,65301488,432711167
6.0,0.09035,0.09781,0.09284,0.09142,0.09035,65301581,65333916
11.0,0.09202,0.10569,0.09658,0.09397,0.09202,65301581,65333918
9.5,0.06428,0.07609,0.06822,0.06597,0.06428,65301581,65301579
6.5,0.06641,0.07449,0.0691,0.06756,0.06641,65301581,65299446
1.5,0.06622,0.06808,0.06684,0.06649,0.06622,65301604,725284295
1.5,0.06489,0.06675,0.06551,0.06516,0.06489,65301604,65297276
10.5,0.09136,0.10441,0.09571,0.09322,0.09136,65301604,65336851
3.0,0.09141,0.09514,0.09265,0.09194,0.09141,65301604,65339524
43.5,0.11113,0.16519,0.12915,0.11885,0.11113,65302176,65317599
30.5,0.11078,0.14868,0.12341,0.11619,0.11078,65302176,65317601
35.5,0.05956,0.10367,0.07426,0.06586,0.05956,65302176,65302180
34.0,0.05963,0.10188,0.07371,0.06567,0.05963,65302176,65296244
7.0,0.08605,0.09475,0.08895,0.08729,0.08605,65302396,65302398
8.0,0.0338,0.04374,0.03711,0.03522,0.0338,65302396,65317485
9.5,0.03402,0.04583,0.03796,0.03571,0.03402,65302396,65307075
9.5,0.07147,0.08328,0.07541,0.07316,0.07147,65302396,65302394
37.0,0.04949,0.09547,0.06482,0.05606,0.04949,65302646,65302650
11.5,0.05927,0.07356,0.06403,0.06131,0.05927,65302646,1777579938
76.5,0.11473,0.20979,0.14642,0.12831,0.11473,65302646,65326392
10.0,0.03015,0.04258,0.03429,0.03193,0.03015,65302646,65302643
21.5,0.01437,0.04109,0.02328,0.01819,0.01437,65302901,65312680
51.0,0.05642,0.1198,0.07755,0.06547,0.05642,65302901,65312677
23.0,0.02019,0.04877,0.02972,0.02427,0.02019,65302901,65320980
25.0,0.02028,0.05135,0.03064,0.02472,0.02028,65302901,65291972
25.0,0.0677,0.09877,0.07806,0.07214,0.0677,65303234,65317145
16.5,0.02419,0.04469,0.03102,0.02712,0.02419,65303234,65303284
